domain,problem,problem_size,compiled,planner,run,n_steps,time,bytes,n_eval,n_expand,n_landmarks,correct_goal
Tyreworld,fixit-1,8,false,GoalCount,1,19,4.3905816,1249587259,1389,1186,36,true
Tyreworld,fixit-1,8,false,GoalCount,2,19,1.305801,1022411360,1389,1186,36,true
Tyreworld,fixit-1,8,false,GoalCount,3,19,1.2111681,1022411360,1389,1186,36,true
Tyreworld,fixit-1,8,false,HAdd,1,19,1.3785608,131081268,107,21,36,true
Tyreworld,fixit-1,8,false,HAdd,2,19,0.0323655,20523456,107,21,36,true
Tyreworld,fixit-1,8,false,HAdd,3,19,0.0346301,20523456,107,21,36,true
Tyreworld,fixit-1,8,false,LM_Count,1,19,2.2891942,1488625650,1536,1653,36,true
Tyreworld,fixit-1,8,false,LM_Count,2,21,1.5765171,1164959984,782,1250,36,true
Tyreworld,fixit-1,8,false,LM_Count,3,21,3.5687152,2639763616,1499,2845,36,true
Tyreworld,fixit-1,8,false,LM_Local-HAdd,1,19,1.087586,288599988,107,2,13,true
Tyreworld,fixit-1,8,false,LM_Local-HAdd,2,19,0.2960121,203383504,107,2,13,true
Tyreworld,fixit-1,8,false,LM_Local-HAdd,3,19,0.304865,203533120,107,2,13,true
Tyreworld,fixit-1,8,false,LM_Local_Smart-HAdd,1,11,2.2863652,1397131449,1536,1342,13,false
Tyreworld,fixit-1,8,false,LM_Local_Smart-HAdd,2,11,1.6896867,1355130256,1536,1342,13,false
Tyreworld,fixit-1,8,false,LM_Local_Smart-HAdd,3,11,1.7014355,1354987328,1536,1342,13,false
Tyreworld,fixit-1,8,true,GoalCount,1,19,2.0321025,125032442,1389,1188,36,true
Tyreworld,fixit-1,8,true,GoalCount,2,19,0.1051474,22571544,1389,1188,36,true
Tyreworld,fixit-1,8,true,GoalCount,3,19,0.1071715,22571544,1389,1188,36,true
Tyreworld,fixit-1,8,true,GoalCount,4,19,0.1075791,22571544,1389,1188,36,true
Tyreworld,fixit-1,8,true,HAdd,1,19,0.4730608,35838993,113,24,36,true
Tyreworld,fixit-1,8,true,HAdd,2,19,0.0065441,1594240,113,24,36,true
Tyreworld,fixit-1,8,true,HAdd,3,19,0.005828,1594240,113,24,36,true
Tyreworld,fixit-1,8,true,HAdd,4,19,0.0060377,1594240,113,24,36,true
Tyreworld,fixit-1,8,true,LM_Count,1,19,0.448728,45014234,1536,1675,36,true
Tyreworld,fixit-1,8,true,LM_Count,2,21,0.3507191,57868776,1532,2747,36,true
Tyreworld,fixit-1,8,true,LM_Count,3,21,0.2384683,40436632,1443,1904,36,true
Tyreworld,fixit-1,8,true,LM_Count,4,21,0.1586063,27387432,1074,1243,36,true
Tyreworld,fixit-1,8,true,LM_Local-HAdd,1,19,0.2836802,45565255,113,2,13,true
Tyreworld,fixit-1,8,true,LM_Local-HAdd,2,19,0.0875462,21946736,113,2,13,true
Tyreworld,fixit-1,8,true,LM_Local-HAdd,3,19,0.0892584,21366160,113,2,13,true
Tyreworld,fixit-1,8,true,LM_Local-HAdd,4,19,0.0868941,21169408,113,2,13,true
Tyreworld,fixit-1,8,true,LM_Local_Smart-HAdd,1,11,0.4008611,58512972,1536,1340,13,false
Tyreworld,fixit-1,8,true,LM_Local_Smart-HAdd,2,11,0.2779642,51173152,1536,1340,13,false
Tyreworld,fixit-1,8,true,LM_Local_Smart-HAdd,3,11,0.229867,51177376,1536,1340,13,false
Tyreworld,fixit-1,8,true,LM_Local_Smart-HAdd,4,11,0.2344835,51179072,1536,1340,13,false
Tyreworld,fixit-10,44,false,GoalCount,1,-1,-1.0,126530571216,168827,41472,252,false
Tyreworld,fixit-10,44,false,HAdd,1,-1,-1.0,68770780168,258006,10377,252,false
Tyreworld,fixit-10,44,false,LM_Count,1,-1,-1.0,70453642009,164428,5310,252,false
Tyreworld,fixit-10,44,false,LM_Local-HAdd,1,-1,-1.0,670176391912,38,1,94,false
Tyreworld,fixit-10,44,false,LM_Local_Smart-HAdd,1,-1,-1.0,660871617128,269704,10808,94,false
Tyreworld,fixit-10,44,true,GoalCount,1,-1,-1.0,41894580428,1153217,359589,252,false
Tyreworld,fixit-10,44,true,HAdd,1,-1,-1.0,25668193339,488012,15717,252,false
Tyreworld,fixit-10,44,true,LM_Count,1,-1,-1.0,9002099104,361913,12863,252,false
Tyreworld,fixit-10,44,true,LM_Local-HAdd,1,-1,-1.0,268749834641,38,1,94,false
Tyreworld,fixit-10,44,true,LM_Local_Smart-HAdd,1,-1,-1.0,275837654404,544555,17619,94,false
